volt,current,capacity
3.82,484.40,63.96
3.82,484.00,64.12
3.83,484.40,64.28
3.82,484.30,64.43
3.82,484.00,64.59
3.82,484.00,64.74
3.82,484.10,64.90
3.82,484.20,65.05
3.83,483.90,65.21
3.82,484.10,65.37
3.82,484.20,65.52
3.82,484.20,65.68
3.82,483.60,65.83
3.82,484.00,65.99
3.82,484.20,66.14
3.83,483.70,66.30
3.82,484.30,66.46
3.82,483.40,66.61
3.82,483.70,66.77
3.82,484.00,66.92
3.82,483.90,67.08
3.82,483.90,67.24
3.82,483.80,67.39
3.82,484.00,67.55
3.82,483.70,67.70
3.82,483.70,67.86
3.82,483.80,68.01
3.82,483.40,68.17
3.82,483.60,68.32
3.82,483.70,68.48
3.82,483.60,68.64
3.82,483.80,68.79
3.82,483.70,68.95
3.82,483.60,69.10
3.82,483.60,69.26
3.82,483.20,69.42
3.82,483.30,69.57
3.82,483.50,69.73
3.82,483.40,69.88
3.82,483.30,70.04
3.82,483.30,70.19
3.82,483.40,70.35
3.83,483.30,70.50
3.82,483.30,70.66
3.82,483.50,70.82
3.82,483.20,70.97
3.82,483.20,71.13
3.82,483.10,71.28
3.82,483.20,71.44
3.82,483.40,71.59
3.82,483.10,71.75
3.82,483.20,71.90
3.82,483.40,72.06
3.82,483.30,72.22
3.82,483.50,72.37
3.82,483.40,72.53
3.82,483.40,72.68
3.82,483.20,72.84
3.82,483.20,72.99
3.82,483.20,73.15
3.82,483.20,73.30
3.82,483.30,73.46
3.82,483.50,73.62
3.82,483.20,73.77
3.82,483.20,73.93
3.82,483.10,74.08
3.82,483.10,74.24
3.82,483.10,74.39
3.82,483.40,74.55
3.82,483.30,74.70
3.82,483.40,74.86
3.82,483.50,75.02
3.82,483.50,75.17
3.82,483.40,75.33
3.82,483.40,75.48
3.82,483.50,75.64
3.82,483.20,75.79
3.82,483.10,75.95
3.82,483.10,76.10
3.82,483.10,76.26
3.82,483.10,76.42
3.82,483.10,76.57
3.82,483.20,76.73
3.82,483.40,76.88
3.82,483.20,77.04
3.82,483.20,77.19
3.82,483.10,77.35
3.82,483.20,77.50
3.82,483.20,77.66
3.82,483.30,77.82
3.82,483.20,77.97
3.82,483.30,78.13
3.82,483.20,78.28
3.82,483.20,78.44
3.82,483.10,78.59
3.82,482.90,78.75
3.82,482.80,78.90
3.82,482.70,79.06
3.82,482.90,79.21
3.82,483.10,79.37
3.82,482.90,79.53
3.82,483.10,79.68
3.82,482.70,79.84
3.82,483.10,79.99
3.82,482.90,80.15
3.82,482.70,80.30
3.82,483.10,80.46
3.82,482.90,80.61
3.82,483.10,80.77
3.82,482.50,80.92
3.82,482.90,81.08
3.82,482.70,81.24
3.82,482.80,81.39
3.82,482.80,81.55
3.82,482.80,81.70
3.82,482.80,81.86
3.82,482.80,82.01
3.82,482.80,82.17
3.82,482.50,82.32
3.82,482.70,82.48
3.82,482.90,82.63
3.82,482.80,82.79
3.82,482.40,82.94
3.82,482.80,83.10
3.82,482.30,83.26
3.82,482.50,83.41
3.82,482.60,83.57
3.82,482.50,83.72
3.82,482.40,83.88
3.82,482.50,84.03
3.82,482.50,84.19
3.82,482.20,84.34
3.82,482.50,84.50
3.82,482.30,84.65
3.82,482.50,84.81
3.82,482.30,84.96
3.82,482.30,85.12
3.82,482.70,85.27
3.82,482.20,85.43
3.82,482.30,85.59
3.82,482.30,85.74
3.82,482.20,85.90
3.82,482.20,86.05
3.82,482.30,86.21
3.82,482.20,86.36
3.82,482.10,86.52
3.82,482.00,86.67
3.82,482.30,86.83
3.82,482.20,86.98
3.82,482.20,87.14
3.82,482.40,87.29
3.82,482.30,87.45
3.81,482.50,87.60
3.82,482.20,87.76
3.81,482.40,87.91
3.82,482.30,88.07
3.82,482.20,88.22
3.82,482.60,88.38
3.82,482.30,88.54
3.81,482.10,88.69
3.82,482.20,88.85
3.82,482.30,89.00
3.82,482.30,89.16
3.82,482.10,89.31
3.82,482.20,89.47
3.82,482.00,89.62
3.82,482.20,89.78
3.82,482.00,89.93
3.81,481.90,90.09
3.82,482.10,90.24
3.82,482.20,90.40
3.82,482.10,90.55
3.82,481.90,90.71
3.81,482.10,90.86
3.82,481.90,91.02
3.82,481.60,91.17
3.82,482.00,91.33
3.81,482.30,91.48
3.81,481.90,91.64
3.82,481.90,91.79
3.82,481.80,91.95
3.82,481.90,92.10
3.82,482.20,92.26
3.82,481.90,92.41
3.82,481.80,92.57
3.81,482.10,92.72
3.82,482.00,92.88
3.82,481.90,93.03
3.81,482.20,93.19
3.82,481.80,93.34
3.82,482.10,93.50
3.81,482.00,93.65
3.81,481.80,93.81
3.82,481.80,93.96
3.82,481.70,94.12
3.82,482.00,94.27
3.82,481.80,94.43
3.81,482.20,94.59
3.82,482.00,94.74
3.81,481.90,94.90
3.82,481.90,95.05
3.81,481.60,95.21
3.82,481.90,95.36
3.82,481.90,95.52
3.81,482.10,95.67
3.81,481.70,95.83
3.81,482.00,95.98
3.81,481.80,96.14
3.81,481.90,96.29
3.81,481.60,96.45
3.81,481.80,96.60
3.81,481.80,96.76
3.81,481.80,96.91
3.81,481.60,97.07
3.81,481.80,97.22
3.82,481.60,97.38
3.81,481.90,97.53
3.81,481.30,97.69
3.82,481.70,97.84
3.82,481.70,98.00
3.81,481.70,98.15
3.81,481.30,98.31
3.81,481.20,98.46
3.81,481.60,98.62
3.82,481.40,98.77
3.81,481.40,98.93
3.81,481.60,99.08
3.81,481.50,99.24
3.81,481.70,99.39
3.81,481.90,99.55
3.81,481.70,99.70
3.81,481.30,99.86
3.82,481.40,100.01
3.81,481.40,100.17
3.81,481.20,100.32
3.81,481.20,100.48
3.81,481.60,100.63
3.81,481.20,100.79
3.81,481.30,100.94
3.81,481.70,101.10
3.81,481.50,101.25
3.81,481.40,101.41
3.81,481.40,101.56
3.81,481.40,101.72
3.81,481.40,101.87
3.81,481.30,102.03
3.81,481.40,102.18
3.81,481.10,102.34
3.81,481.20,102.49
3.81,481.20,102.65
3.81,481.10,102.80
3.81,481.10,102.96
3.81,481.30,103.11
3.81,481.10,103.27
3.81,481.20,103.42
3.81,481.00,103.58
3.81,481.30,103.73
3.81,481.20,103.89
3.81,481.20,104.04
3.81,481.30,104.20
3.81,481.50,104.35
3.81,481.30,104.51
3.81,481.40,104.66
3.81,481.40,104.81
3.81,481.20,104.97
3.81,481.40,105.12
3.81,481.00,105.28
3.81,481.10,105.43
3.81,481.30,105.59
3.81,481.10,105.74
3.81,481.30,105.90
3.81,481.00,106.05
3.81,481.40,106.21
3.81,480.90,106.36
3.81,481.10,106.52
3.81,481.20,106.67
3.81,481.30,106.83
3.81,481.20,106.98
3.81,481.00,107.14
3.81,481.10,107.29
3.81,480.90,107.45
3.81,480.90,107.60
3.81,480.90,107.76
3.81,481.20,107.91
3.81,480.60,108.07
3.81,480.80,108.22
3.81,481.20,108.38
3.80,481.10,108.53
3.81,481.20,108.69
3.81,480.90,108.84
3.81,480.90,109.00
3.81,480.60,109.15
3.81,480.70,109.31
3.81,481.00,109.46
3.81,481.30,109.62
3.81,481.20,109.77
3.81,481.10,109.93
3.81,481.10,110.08
3.81,481.10,110.24
3.81,480.60,110.39
3.81,480.50,110.55
3.81,480.60,110.70
3.80,480.80,110.86
3.80,481.10,111.01
3.81,480.70,111.17
3.80,481.20,111.32
3.81,480.80,111.47
3.81,480.60,111.63
3.80,480.50,111.78
3.81,480.60,111.94
3.80,480.60,112.09
3.80,480.80,112.25
3.81,480.30,112.40
3.81,480.80,112.56
3.81,480.60,112.71
3.81,480.50,112.87
3.81,480.80,113.02
3.81,480.90,113.18
3.81,480.80,113.33
3.81,480.50,113.49
3.81,480.60,113.64
3.81,480.40,113.79
3.81,480.60,113.95
3.80,480.30,114.10
3.81,480.40,114.26
3.81,480.50,114.41
3.81,480.00,114.57
3.81,480.30,114.72
3.80,480.20,114.88
3.80,480.10,115.03
3.81,480.50,115.19
3.81,480.20,115.34
3.80,480.20,115.50
3.81,480.10,115.65
3.81,480.30,115.81
3.80,480.40,115.96
3.80,480.10,116.12
3.80,480.30,116.27
3.81,480.20,116.43
3.81,480.10,116.58
3.80,480.20,116.73
3.80,480.30,116.89
3.81,479.90,117.04
3.80,479.80,117.20
3.81,479.90,117.35
3.81,480.00,117.51
3.80,480.10,117.66
3.81,480.20,117.82
3.80,479.90,117.97
3.80,479.90,118.13
3.81,480.20,118.28
3.80,480.00,118.43
3.80,479.90,118.59
3.80,480.00,118.74
3.80,479.80,118.90
3.80,480.10,119.05
3.80,479.80,119.21
3.80,479.90,119.36
3.80,479.90,119.52
3.80,480.00,119.67
3.80,480.10,119.83
3.80,479.90,119.98
3.80,479.90,120.14
3.81,479.90,120.29
3.80,479.90,120.45
3.80,479.70,120.60
3.80,479.90,120.75
3.80,479.70,120.91
3.80,480.10,121.06
3.80,480.10,121.22
3.81,479.90,121.37
3.80,479.90,121.53
3.80,479.80,121.68
3.80,479.70,121.84
3.80,479.90,121.99
3.80,479.80,122.15
3.80,479.80,122.30
3.80,479.80,122.46
3.80,479.90,122.61
3.80,479.60,122.76
3.80,479.90,122.92
3.80,479.90,123.07
3.80,479.90,123.23
3.80,479.80,123.38
3.80,480.10,123.54
3.80,479.90,123.69
3.80,479.80,123.85
3.80,480.00,124.00
3.80,479.30,124.16
3.80,479.50,124.31
3.80,479.70,124.47
3.80,479.60,124.62
3.80,479.50,124.78
3.80,479.70,124.93
3.80,479.10,125.08
3.80,479.50,125.24
3.80,479.50,125.39
3.80,479.60,125.55
3.80,479.40,125.70
3.80,479.60,125.86
3.80,479.60,126.01
3.80,479.40,126.17
3.80,479.20,126.32
3.80,479.00,126.48
3.80,479.60,126.63
3.80,479.10,126.78
3.80,479.50,126.94
3.80,479.40,127.09
3.80,478.90,127.25
3.80,479.20,127.40
3.80,479.20,127.56
3.80,479.40,127.71
3.80,479.30,127.87
3.80,479.20,128.02
3.80,478.90,128.18
3.80,479.00,128.33
3.80,479.30,128.48
3.80,479.40,128.64
3.80,479.00,128.79
3.80,479.60,128.95
3.80,479.00,129.10
3.80,479.50,129.26
3.80,479.20,129.41
3.80,479.00,129.57
3.80,479.00,129.72
3.80,479.50,129.87
3.80,479.20,130.03
3.80,479.40,130.18
3.80,479.10,130.34
3.80,479.10,130.49
3.80,478.90,130.65
3.80,479.10,130.80
3.80,479.10,130.96
3.80,478.90,131.11
3.80,479.20,131.26
3.80,478.90,131.42
3.80,478.90,131.57
3.80,479.10,131.73
3.80,478.90,131.88
3.80,478.80,132.04
3.80,479.10,132.19
3.80,478.90,132.34
3.80,478.80,132.50
3.80,478.90,132.65
3.80,479.20,132.81
3.80,479.10,132.96
3.80,479.00,133.12
3.80,478.60,133.27
3.80,478.80,133.43
3.80,478.90,133.58
3.80,479.00,133.73
3.80,479.00,133.89
3.80,478.50,134.04
3.80,478.70,134.20
3.80,478.90,134.35
3.80,478.70,134.51
3.80,478.80,134.66
3.80,478.70,134.81
3.80,478.80,134.97
3.79,478.50,135.12
3.80,478.70,135.28
3.80,478.60,135.43
3.80,478.60,135.58
3.80,478.40,135.74
3.80,478.80,135.89
3.80,478.70,136.05
3.80,478.50,136.20
3.80,478.40,136.36
3.80,478.50,136.51
3.80,478.70,136.66
3.80,478.80,136.82
3.80,478.60,136.97
3.80,478.60,137.13
3.80,478.50,137.28
3.80,478.40,137.44
3.80,478.40,137.59
3.80,478.60,137.74
3.80,478.90,137.90
3.80,478.50,138.05
3.80,478.50,138.21
3.80,478.40,138.36
3.80,478.20,138.52
3.80,477.80,138.67
3.80,478.20,138.82
3.80,478.30,138.98
3.80,478.10,139.13
3.79,478.10,139.29
3.79,478.20,139.44
3.80,478.10,139.59
3.80,478.20,139.75
3.80,478.20,139.90
3.79,478.20,140.06
3.79,478.20,140.21
3.79,477.90,140.37
3.79,478.10,140.52
3.79,478.00,140.67
3.79,478.30,140.83
3.80,478.00,140.98
3.80,478.20,141.14
3.79,478.10,141.29
3.79,477.90,141.44
3.79,478.20,141.60
3.79,478.50,141.75
3.79,478.60,141.91
3.79,478.10,142.06
3.79,478.00,142.21
3.80,478.20,142.37
3.80,478.00,142.52
3.79,477.90,142.68
3.79,478.00,142.83
3.79,477.90,142.98
3.79,478.30,143.14
3.79,478.00,143.29
3.79,477.80,143.45
3.79,478.20,143.60
3.79,477.80,143.75
3.79,477.70,143.91
3.79,477.60,144.06
3.79,477.70,144.22
3.79,477.80,144.37
3.79,477.70,144.52
3.79,478.90,144.68
3.79,477.60,144.83
3.79,477.70,144.99
3.79,477.60,145.14
3.79,477.50,145.29
3.79,477.80,145.45
3.79,478.00,145.60
3.79,477.60,145.76
3.79,477.50,145.91
3.79,477.50,146.06
3.79,477.90,146.22
3.79,477.90,146.37
3.79,477.20,146.53
3.79,477.90,146.68
3.79,477.30,146.83
3.79,477.60,146.99
3.79,477.50,147.14
3.79,477.60,147.30
3.79,477.60,147.45
3.79,477.70,147.60
3.79,477.40,147.76
3.78,477.40,147.91
3.79,477.40,148.07
3.79,477.10,148.22
3.79,477.40,148.37
3.79,477.40,148.53
3.79,477.80,148.68
3.79,477.30,148.84
3.79,477.20,148.99
3.79,477.00,149.14
3.79,477.30,149.30
3.79,477.10,149.45
3.79,477.30,149.60
3.79,477.00,149.76
3.79,477.50,149.91
3.79,477.30,150.07
3.79,477.10,150.22
3.79,477.10,150.37
3.79,476.80,150.53
3.79,477.20,150.68
3.79,476.70,150.83
3.78,476.50,150.99
3.79,476.90,151.14
3.79,477.00,151.30
3.78,477.10,151.45
3.79,477.10,151.60
3.79,476.90,151.76
3.79,477.10,151.91
3.78,476.80,152.06
3.78,476.60,152.22
3.79,477.10,152.37
3.79,477.00,152.52
3.78,477.00,152.68
3.78,477.10,152.83
3.79,476.30,152.99
3.78,476.80,153.14
3.79,477.00,153.29
3.78,476.90,153.45
3.78,476.80,153.60
3.79,476.90,153.75
3.79,476.70,153.91
3.78,476.90,154.06
3.78,476.70,154.21
3.78,476.70,154.37
3.78,476.60,154.52
3.78,476.70,154.68
3.78,476.40,154.83
3.78,476.60,154.98
3.78,476.60,155.14
3.78,476.50,155.29
3.78,476.60,155.44
3.78,476.60,155.60
3.78,476.80,155.75
3.78,476.80,155.90
3.78,476.40,156.06
